CPU_Utilization_Pct,Memory_Usage_Pct,Clock_Speed_GHz,Ambient_Temp_C,Voltage_V,Current_Load_Amps,Power_Consumption_W,Fan_Speed_RPM,Airflow_CFM,CPU_Temperature_C
92.97,26.48,3.94,30,1.39,102.8,143.08,6863.08,83.88,53.35
17.96,90.42,3.19,18.82,1.31,84.73,110.89,5628.55,84.14,31.91
27.64,43.34,2.57,26.78,1.33,110.77,147.53,2716.69,32.2,52.06
14.07,58.45,3.07,22.42,1.06,146.23,154.52,7505.23,100.97,31.47
39.28,28.16,2.95,19.67,1.03,131.74,135.57,5735.76,62.52,37.37
44.98,25.32,2.83,22.87,1.49,124.24,185.69,3034.02,43.81,50.2
34.42,52.22,2.53,29.98,1.19,57.64,68.38,3345.09,39.42,49.2
84.59,75.63,3.9,22.29,1.03,62.08,63.68,3224.84,36.15,55.08
42.11,40.2,2.22,21.33,1.08,111.23,120.11,3351.81,43.64,43.25
35.28,62.18,4.22,28.15,1.44,53.17,76.41,3258.63,42.49,50.83
58.84,40.9,2.44,28.42,1.1,114.26,126.01,6475.83,74.02,44.93
22.68,49.15,4.45,22.07,1.23,80.19,98.92,5548.40,66.75,38.46
82.2,87.98,4.47,21.58,1.33,66.09,88.15,3400.11,39.41,55.7
16.71,84.19,3,25.77,1.48,54.62,80.99,7591.71,109.69,34.29
98.82,58.7,4.47,20.46,1.01,71.15,71.65,2069.70,26.95,61.76
79.5,37.86,4.17,23.8,1.24,119.59,148.75,6113.55,87.21,44.22
27.88,34.49,2.21,19.7,1.5,94.95,142.24,5260.30,65.03,32.13
10.5,91.56,4.37,21.66,1.06,53.28,56.52,5188.62,52.29,35.95
83.39,35.2,2.11,21.57,1.06,56.91,60.43,5308.11,58.21,37.95
73.62,80.61,2.45,26.34,1.04,108.37,113.08,4919.76,68.13,45.98
75.61,47.67,3.46,21.39,1.25,133.72,167.68,7678.87,83.78,41.19
79.41,93.92,2.2,28.78,1.17,109.61,128.7,5712.44,81.65,46.51
16.66,47.61,2.4,29.8,1.36,88.51,120.21,4756.36,54.68,44.54
42.26,46.36,4.38,18.97,1.29,93.65,120.4,7160.33,78.5,34.75
20.43,67.81,4.49,22.77,1.29,90,116.13,7337.94,78.23,37.73
87.68,92.11,4,21.62,1.26,139.68,175.38,6646.42,88.02,42.42
66.1,93.22,3.29,22.22,1.5,65.27,97.65,5442.86,78.12,38.64
39.78,73.04,4.25,21.18,1.27,88.16,111.92,2256.21,29.03,52.94
15.72,76.6,2.28,22.59,1.04,80.83,83.75,7460.63,92.08,30.09
37.99,62.26,4.36,19.7,1.16,108.92,126.47,6905.39,84.37,34.45
39.27,76.68,2.88,21.36,1.39,119.21,165.74,7601.07,92.2,34.07
75.66,84.48,4.15,26.97,1.31,101.74,133.71,2807.19,41.04,59.69
67.38,56.46,3.67,22.13,1.34,149.15,200.15,7766.87,116.44,36.48
89.85,66.49,4.4,20.49,1.46,75.42,110.18,7794.18,103.78,37.78
52.5,60.3,4.16,19.3,1.22,51.85,63.36,4720.33,63.44,37.67
20.76,62.19,4.22,22.18,1.01,122.35,123.54,2446.25,36.1,49.9
74.19,86.75,3.58,25.72,1.5,74.48,111.35,5731.16,57.32,49.63
78.47,46.67,4.08,21.04,1.23,147.07,180.49,5757.47,63.83,44.51
60.51,35.61,3.89,23.07,1.05,130.36,136.72,5183.62,74.35,42.64
79.39,54.22,2.4,29.43,1.27,112.61,143.5,3968.87,53.54,55.02
54.44,35.61,3.62,24.63,1.3,120.44,155.98,2430.90,25,62.83
57.05,57.38,2.37,24.38,1.28,129.97,166.64,5374.29,55.84,47.02
48.48,87.76,4.17,22.92,1.48,118.44,175.58,3885.03,46.43,51.58
12.29,66.31,2.16,24.68,1.16,81.41,94.42,2597.94,37.67,41.41
19.71,84.16,4.47,29.81,1.02,100.63,102.37,3141.70,41.41,52.24
12.83,32.46,3,21.05,1.46,81.42,118.87,6743.06,97.89,30.32
67.28,87.57,2.43,29.3,1.1,120.27,131.77,6838.59,82.41,45.1
38.29,65.13,4.34,19.79,1.37,50.83,69.88,6605.72,68.53,35.37
55.77,22.38,2.11,19.33,1.1,88.56,97.59,2454.97,28.17,46.01
91.68,67.48,3.18,25.86,1.41,65.86,93.15,2663.51,36.89,55.77
32.44,91.35,3.93,21.01,1.45,144.94,210.62,3399.57,42.9,50.22
46.93,25.94,2.79,23.33,1.05,121.93,128.35,7876.21,108.92,36.1
78,63.68,3.32,26.76,1.07,100.34,107.73,3649.39,47.44,53.87
30.59,88.66,3.75,24.42,1.46,74.22,108.55,7608.61,108.61,34.79
16.93,20.73,4.38,18.16,1.39,51.92,71.93,5955.10,65.08,31.43
36.08,67.32,2.26,21.67,1.02,125.57,128.01,2164.29,24.95,48.15
24.51,55.62,2.39,18.78,1.09,99.63,108.71,4924.45,68.88,29.26
93.67,46.02,3.27,29.11,1.21,58.95,71.1,7016.58,83.48,46.95
82.73,67.07,3.05,27.54,1.43,107.51,153.96,2381.20,28.02,68.12
67.01,23.95,3.03,29.81,1.08,54,58.08,5659.46,74.68,43.95
88.43,76.48,2.74,28.62,1.36,93.32,127.11,3922.85,50.27,55.43
82.33,20.34,3.4,23.7,1.04,93.98,97.91,3201.67,35.51,56.37
26.79,43.02,4.21,28.59,1.23,136.37,168.22,5170.85,58.18,52
90.33,57.8,2.4,26.07,1.36,148.74,202.95,6775.83,83.97,44.05
58.54,48.28,2.54,24.3,1.03,64.4,66.48,6671.38,84.16,34.99
82.67,43.06,3.68,22.45,1.1,120.21,132.48,3045.16,40,59.09
90.65,82.31,2.14,26.17,1.4,137.17,191.47,4089.10,57.26,52.15
38.62,90.11,3.68,25.08,1.08,93.01,100.61,4089.17,60.05,42.69
19.9,85.53,2.79,25.37,1.33,82.66,110.25,6946.72,95.05,35.43
30.51,59.18,2.89,22.8,1.32,52,68.7,4977.60,68.94,33.43
48.44,86.31,3.01,26.87,1.26,106.35,134.02,4251.44,61.9,44.24
83.62,89.06,2.87,18.98,1.1,68.05,74.91,6830.99,78.32,34.09
87.47,50.69,4.1,26.71,1.21,57.43,69.4,7345.71,93.84,40.16
10.63,41.26,4.37,26.77,1.31,50.41,66.08,3942.72,57.17,42.17
55.97,27.37,3.37,24.19,1.44,146.1,210.51,7911.47,103.29,42.43
47.57,55.93,3.45,21.16,1.4,135.8,189.98,5214.38,70.32,39.94
29.99,90.97,2.18,24.23,1.3,146.23,190.63,2371.55,26.53,56.79
20.79,62.07,3.78,19.48,1.11,144.17,160.64,4194.34,42.47,43.53
40.39,70.07,3.46,21.42,1.11,112.53,124.72,5265.51,53.87,43.47
94.86,28.47,2.13,23.06,1.41,110.62,155.63,6958.97,72.49,44.38
39.09,30.76,2.5,26.08,1.33,134.71,179.46,6255.17,81.6,42.42
56.69,54.84,2.5,20.25,1.18,144.66,170.55,3197.03,36.52,50.2
73.27,91.34,2.43,19.9,1.49,108.94,161.85,4542.15,52.36,43.4
42.73,47.06,3.65,25.29,1.44,61.99,89.57,2589.96,30.41,52.96
97.46,85.81,4.32,26.15,1.34,63.16,84.37,7263.74,84.87,46.03
96.62,29.02,3.91,19,1.18,115.99,137.41,2022.32,29.7,64.38
32.66,66.28,3.19,18.4,1.15,58.08,67.04,3564.24,42.27,36.96
54.75,65.05,3.01,19.77,1.47,111.17,163.38,6573.86,82.4,34.75
37.08,84.49,2.97,28.81,1.22,146.39,178.85,2132.06,28.16,60.68
35.64,20.25,3.5,26.07,1.4,50.33,70.46,6326.27,94.31,37.89
13.32,34.24,2.9,29.05,1.47,68.57,100.8,5926.01,81.07,38.35
64.86,36.48,2.57,25.98,1.25,144.45,179.99,4672.71,60.73,47.86
55.24,91.25,3.51,29.58,1.33,98.89,131.18,2848.14,32.83,60.8
14.63,31.53,2.98,23.27,1.04,78.68,82.08,3856.86,55.69,33.29
35.08,22.77,2.04,25.19,1.33,74.88,99.31,3194.47,43.72,42.54
91.74,60.08,2.06,25.21,1.11,136.39,151.06,2035.71,21.64,71.78
31.56,59.64,2.69,18.04,1.34,92.96,124.12,4206.55,57.13,30.76
23.04,83.3,3.28,18.33,1.05,113.57,119.3,7414.37,75.91,30.89
54.05,91.16,2.89,19.74,1.25,80.99,101.05,4877.47,69.32,33.54
98.71,60.39,2.06,24.13,1.26,104.5,131.72,5603.68,78.73,43.06
31.78,89.75,2.56,23.17,1.24,129.6,160.93,7648.42,106.5,34.3
70.49,74.39,2.24,24.48,1.38,83.86,115.58,4705.39,60.53,43.92
78.55,39.84,4.37,27.61,1.38,89.78,123.66,5500.79,58.7,53.68
31.39,89.63,2.78,27.87,1.35,94.33,127.65,2554.15,37.74,49.03
75.54,70.06,2.04,29.72,1.32,109.89,144.6,2802.23,34.67,57.98
43.1,51.06,3.65,24.69,1.45,80.42,116.79,5504.02,68.59,41.04
66.91,71.02,2.58,22.17,1.29,94.57,121.79,2286.70,29.94,52.39
67.02,50.1,3.42,21.7,1.17,104.79,123.04,2214.85,26.06,58.82
58.22,28.56,2.38,22.09,1.03,85.46,87.99,2627.16,34.98,45.76
18.13,73.92,4.46,21.89,1.27,50.7,64.29,3399.20,45.54,38.43
85.18,81.81,4.43,22.72,1.11,76.99,85.76,2585.41,38.11,55.66
38.87,74.66,3.64,18.9,1.19,131.59,157.06,3537.17,38.24,48.01
26.79,37.18,3.77,25.6,1.02,78.35,80.3,6431.82,81.12,39.19
13.67,91.75,3.06,24.82,1.32,132.23,174.61,4493.72,58.25,41.66
63.18,21.89,4.41,23.54,1.44,90.9,131.2,5984.87,81.42,43.18
70.98,44.95,3.06,18.97,1.16,136.63,158.84,6587.03,67.5,37.22
11.49,39.51,2.6,19.12,1.4,87.54,122.77,3968.40,43.12,34.3
56.09,23.61,2.29,24.54,1.06,79.24,84.24,7364.58,75.44,33.13
30.38,50.43,2.52,18.44,1.36,73.76,100.43,7169.06,89.87,26.68
68.07,66.73,3.43,26.7,1.04,80.27,83.47,4479.36,63.95,45.94
25.69,86.19,2.61,29.93,1.13,69.83,78.86,6952.42,92.14,38.06
72.18,94.23,3.64,25.17,1.18,125.05,147.58,4022.46,50.96,49.67
44.81,80.61,2.96,26.68,1.08,148.18,159.8,6340.23,63.73,45.95
94.31,55.15,4.22,23.27,1.09,89.72,98,7826.94,83.41,41.91
22.38,74.28,3.4,26.01,1.35,83.32,112.44,3869.27,50.16,45.25
40.7,83.27,3.56,25.82,1.05,113.76,119.2,5435.24,60.92,40.28
20.21,54.9,3.39,27.89,1.47,93.05,136.49,4161.87,62.02,44.69
93.22,78.88,4.21,26.54,1.38,54.81,75.86,4984.22,59.84,54.33
88.96,56.2,2.16,26.99,1.18,84.44,99.5,3306.86,37.96,58.89
33.21,48.99,2.17,24.68,1.31,130.02,170.89,4569.11,58.18,43.23
69.4,59.46,3.75,23.81,1.36,56.87,77.32,5867.57,62.16,45.12
83.55,70.69,3.92,23.5,1.3,75.87,98.42,4067.82,51.27,49.22
59.97,74.52,3.08,22.7,1.31,147.48,193.08,3733.81,53.9,47.25
57.67,46.76,2.88,21.19,1.46,78.31,114.17,3986.28,44.54,44.13
31.77,62.85,2.69,18.4,1.44,135.15,194.69,3874.33,43.35,41.3
18.38,88.24,2.59,26.05,1.46,139.91,203.84,2962.53,30.24,50.86
90.75,93.22,4.28,28.81,1.44,118.18,170.49,7437.83,107.51,46.26
91.04,37.04,2.74,29.17,1.34,97.44,130.83,7734.26,107.69,43.14
66.98,34.46,3.62,24.97,1.25,145.55,181.34,3588.62,43.41,54.43
40.51,70.75,3.97,19.13,1.24,146.35,182.01,5700.14,71.25,37.41
41.43,51.1,2.05,28.54,1.39,113.62,157.45,3890.96,41.41,51.45
75.34,21.82,2.08,26.97,1.46,124.55,182.09,5480.50,75.52,48.83
90.74,46.01,2.83,21.02,1.04,138.07,144.15,3759.59,39.73,53.81
89.84,80.51,3.74,27.64,1.44,60.72,87.33,2364.88,29.53,64.87
80.19,79.81,2.65,23.66,1.42,106.52,151.77,2898.68,29.32,60.78
67.78,57.1,2,28.65,1.04,136.36,142.33,5139.18,61.33,48.3
17.57,55.44,2.72,20.97,1.33,141.31,187.7,3496.26,41.45,42.66
24.55,63.46,2.23,27.61,1.49,149.96,222.84,4901.65,51.26,48.58
90.87,36.45,2.55,26.54,1.43,123.29,175.79,7460.26,84.58,44.47
64.58,59.45,2.83,18.17,1.03,70.92,73.14,2246.33,26.39,48.43
10.83,20.83,2.32,24.76,1.46,113.43,165.91,6891.75,69.79,38.93
19.13,55.67,3.77,26.59,1.09,148.95,161.84,4921.45,54.18,44.94
69.72,45.2,2.64,19.88,1.04,108.76,112.7,2926.11,40.74,42.57
10.46,70.62,3.65,24.38,1.11,88.56,98.65,3392.97,45.87,40.84
24.47,67.88,3.5,21.65,1.24,77.13,95.77,7945.30,94.77,31.3
59.39,48.56,4.25,26.36,1.41,84.91,119.51,4086.43,54.15,49.94
72.27,20.55,2.22,24.48,1.13,123.6,140.11,2388.81,34.31,53.49
68.68,38.92,2.54,25.46,1.2,71.04,84.9,5514.53,75.87,40.68
30.18,67.5,4.16,18.87,1.07,114.09,122.13,3153.17,39.51,42.04
74.1,25.43,4.06,19.65,1.15,112.69,129.12,7390.81,109,37.37
31.35,28.07,2.48,24.63,1.45,76.41,110.87,4127.72,50.63,40.22
39.29,68.53,2.27,20.17,1.34,100.43,134.61,5710.08,76.73,29.23
77.18,76.68,4.14,23.98,1.34,136.64,182.69,7109.09,92.62,43.64
68.47,44.12,2.45,26.28,1.12,129.53,145.71,7904.53,94.15,39.97
86.43,56.73,4.18,27.72,1.07,108.61,116.56,7750.38,106.05,43.29
69.19,90.93,4.4,19.72,1.44,116.72,168.52,2674.21,35.59,55.58
61.15,90.92,2.55,26.9,1.47,53.5,78.75,4026.45,40.47,49.78
18.43,43.06,4.1,22.36,1.03,58.93,60.51,5858.38,59.82,35.1
43.09,80.75,3.06,26.15,1.27,87.48,110.67,2745.24,39.61,50.49
33.87,64.55,3.97,19.74,1.22,88.37,107.8,4296.70,43.56,44.13
31.96,93.16,3.02,24.18,1.37,79.79,109.25,7702.61,91.39,34.9
97.57,55.82,2.18,28.05,1.15,115.06,132.42,3144.54,37.47,57.34
45.38,78.1,3.78,19.28,1.31,110.7,145.05,4982.17,52.77,42.44
90.28,77.61,2.38,27.93,1.04,118.45,123.35,2297.29,29.06,61.42
66.8,57.31,4.32,23.43,1.41,73.1,103.18,5839.69,63.77,43.86
81.53,79.67,3.04,27.88,1.12,50.27,56.27,5559.12,69.91,46.24
55.24,39.58,2.21,29.5,1.16,146.72,169.75,7012.18,85.23,44.7
61.92,29.17,2.57,19.92,1.19,127.26,151.32,7231.05,83.49,33.71
54.33,51.89,4.16,26.09,1.1,95.7,105.59,3274.49,38,53.14
27.57,90.77,2.8,20.82,1.4,54.38,76.37,7155.49,74.82,30.85
75.02,57.56,4.14,19.63,1.03,69.91,72.31,7880.07,114.3,31.12
35.27,67.64,2.43,25.54,1.47,55.3,81.11,7308.36,87.8,36.09
12.19,66.81,3.17,19.3,1.47,97.72,143.19,7182.00,104.5,29.07
68.09,29.94,4.2,23.58,1.41,71.72,101.38,5432.09,58.37,44
25.94,49.27,2.12,25.63,1.48,103.86,153.3,5930.79,69.9,35.9
94.64,73.02,2.76,24,1.38,56.2,77.59,6729.43,98.69,39.08
95.85,92.9,4.27,26.36,1.28,121.08,155.14,3069.39,43.48,61.84
92.34,32.6,3.49,27.62,1.36,60.07,81.74,7864.87,108.38,41.11
43.31,50.78,3.79,28.47,1,80.95,81.1,3788.77,44.35,48.53
11.39,27.13,4.11,24.72,1.34,114.52,153.77,5087.35,51.83,43.92
93.55,38.18,3.31,21.32,1.02,60.76,62.04,5289.06,58.95,42.73
48.54,48.26,4.11,24.12,1.44,147.85,213.48,7019.91,102.22,39.05
97,60.55,3.6,22.65,1.45,69.12,100.11,4794.19,63.33,44.78
96.73,37.29,3.71,20.71,1.06,53.61,56.68,4486.68,45.58,46.96
86.77,37.07,2.38,24.35,1.34,116.86,156.56,4122.81,44.13,51.89
36.5,78.34,4.35,18.27,1.33,88.15,117.6,7306.75,95.62,31.66
44.66,92.2,3.99,25.27,1.25,146.73,183.28,7109.73,84.44,42.98
86.6,44.27,2.64,27.86,1.01,58.73,59.46,4574.52,66.7,45.93
38.52,71.6,3.45,29.99,1.06,85.5,90.38,4493.87,49.74,46.65
25.25,39.36,2.94,29.06,1.33,109.33,145.37,3135.02,34.3,50.22
60.11,89.6,3.65,19.08,1.26,104.43,132.08,5019.29,59.87,40.99
94.25,70.47,4.48,19.95,1.02,98.81,101.09,4037.68,57.6,48
72.64,80.2,2.11,19.66,1.26,88.39,111.26,4436.01,51.16,37.46
61.31,23.7,4.38,24.7,1.42,133.47,190.15,3174.64,35.52,63.33
18.75,64.89,2.18,18.55,1.45,63.81,92.22,5692.02,76.57,27.86
65.35,59.57,3.15,29.24,1.35,100.14,135.04,4616.50,46.95,57.56
99.1,41.97,3.21,18.74,1.33,107.24,142.78,7438.74,90.7,38.03
22.61,39.68,2.67,22.7,1.38,138.48,191.73,4557.19,68.02,35.67
56.65,63.5,3.42,28.73,1.07,78.25,83.47,6730.22,78.27,45.33
88.96,72.99,4.08,29.38,1.1,77.38,84.74,5568.59,72.32,48.76
76.67,22.49,2.73,23.58,1.24,130.99,162.8,7392.68,91.28,40.71
72.73,62.56,2.18,23.86,1.23,77.69,95.21,7159.21,103.41,35.79
73.22,32.78,3.58,25.63,1.09,55.39,60.49,7184.68,73.6,42.74
42.35,30.53,3.88,22.89,1.34,102.23,136.9,7869.15,109.6,37.49
36.42,66.73,4.39,21.9,1.37,125.9,172.56,2650.29,32.07,55.75
82.84,43.32,2.4,26.87,1.14,65.35,74.2,3664.82,37,55.64
82.91,53.07,4.25,25.14,1.16,126.2,145.95,2000.80,26.09,69.76
88.04,47,3.21,23.78,1.13,85.45,96.45,6838.58,89.36,40.38
92.19,68.63,2.59,19.21,1.14,144.85,165.03,6179.14,80.37,41.22
56.02,55.26,4.41,18.83,1.18,58.7,69.41,7583.56,106.83,31.39
55.14,92.26,2.6,24.13,1.22,81.53,99.51,6247.83,76.23,40.34
81.85,46.43,3.83,25.43,1.24,71.01,88.21,2353.74,31.04,59.5
68.5,75.52,3.96,25.89,1.24,139.69,173.56,3301.30,33.39,63.27
73.18,39.3,3.08,28.74,1.31,77.92,101.97,2556.92,35.06,60.03
81.62,58.16,3.72,27.79,1.17,76.56,89.74,2097.51,21.53,72.24
90.1,61.44,3.43,19.69,1.25,120.47,150.79,3632.70,52.08,49.58
40.42,44.68,2.48,27.53,1.25,144.91,181.58,5475.96,72.29,45.39
43.8,55.38,3.9,26.12,1.05,109.02,114.29,7226.08,87.29,40.59
18.46,40.95,4.32,27.94,1.31,144.19,189.56,5982.61,80.04,42.57
62.05,20.45,3.22,28.12,1.14,115.8,131.91,3108.78,34.55,57.69
13.23,36.17,4.49,22.15,1.02,69.71,71.35,4885.76,62,34.65
51.9,72.5,3.07,21.16,1.32,124.46,164.72,3376.86,46.13,47.97
58.84,77.82,3.2,24.63,1.02,79.64,81.57,5578.16,58.18,41.36
35.79,41.02,3.68,21.58,1.22,80.88,98.75,5599.79,58.24,35.01
63.17,50.6,2.46,22.2,1.31,130.88,171.53,4132.60,59.85,43.99
12.75,22.8,4.25,18.83,1.5,75.88,113.76,3000.35,42.73,39.12
13.36,37.78,4,29.9,1.26,83.33,104.79,6304.97,73.68,43.57
84.03,78.44,4.18,21.71,1.16,148.72,172.38,3795.80,50.91,54.12
42.42,65.45,3.52,27.36,1.25,67,83.49,7572.54,98.48,38.53
21.44,35.43,4.21,29.92,1.1,113.21,124.29,4362.66,59.35,46.79
57,39.31,3.7,29.63,1.22,89.46,109.05,2046.64,23.65,66.18
79.3,81.26,3.28,25.61,1.44,81.97,117.76,5239.89,64.57,47.2
29.42,35.68,4.33,24.46,1.07,63.3,67.61,5063.31,58,39.9
66.06,45.06,3.1,21.71,1.27,103.25,130.62,4119.17,57.34,42.67
17.68,69.83,3.25,28.34,1.31,106.99,140.2,2777.69,30.82,54.77
14.65,62.08,2.42,22.06,1.16,118.79,137.38,6069.25,88.06,32.61
57.82,54.57,4.37,19.28,1.37,128.8,176.19,3793.18,54.18,45.04
58.66,87.48,2.55,21.53,1.33,91.27,121.56,2270.25,31.12,49.73
67.37,36.48,2.5,21.78,1.23,103.86,127.96,7487.99,111.24,34.1
75.35,75.61,2.25,26.62,1.32,56.52,74.61,2966.90,37.69,48.7
97.83,31.93,3.13,20.03,1.42,91.72,130.26,2898.07,33.57,57.83
56.47,66.18,2.68,21.8,1.3,63.19,82.17,2873.91,38.77,44.22
39.07,85.3,3.85,18.92,1.28,50.07,64.31,3448.97,51.53,36.49
81.57,54.34,2.77,28.18,1.31,55.97,73.37,3394.60,42.81,52.13
34.37,74.32,3.8,26.7,1.34,52.47,70.2,2832.47,32.4,49.57
49.51,81.53,2.49,23.25,1.2,89.23,107.21,6581.49,70.21,38.15
17.06,30.2,2.57,23.16,1.42,88.43,125.44,6337.80,89.17,31.1
12.28,72.94,4.02,20,1.46,69.9,102.19,2238.63,25.99,45.45
96.64,88.99,2.93,22.61,1.31,96.52,126.53,2743.48,37.66,56.1
85.24,63.23,2.28,28.88,1.44,57.95,83.65,6762.94,99.53,42.26
72.64,33.96,4.4,19.66,1.37,79.18,108.67,5191.77,52.82,44
46.81,29.52,2.44,27.18,1.21,54.54,66.08,3258.84,34.19,48.28
25.6,39.48,2.38,18.57,1.25,50.67,63.24,6740.52,72.01,28.78
24.08,27.76,2.9,21.74,1.29,108.7,139.69,6452.87,84.56,34.77
32.52,58.5,2.24,28.16,1.47,121.73,178.88,6359.91,94.28,40.5
59.43,25.23,2.39,23.34,1.32,75.86,100.44,2507.56,30.05,50.3
74.31,36.76,4.12,26.43,1.25,119.27,149.6,6520.51,84.75,45.96
69.42,52.99,2.43,19.24,1.06,112.79,119.74,4404.49,57.53,40.26
35.19,55.54,2.28,26.2,1.33,127.55,170.08,3298.72,43.62,47.55
95.94,62.4,4.2,27.83,1.28,70.54,90.11,4769.83,61.32,49.16
76.41,72.92,3.11,27.66,1.47,98.08,144.18,3790.99,56.41,52.41
59.89,23.54,2.39,23.27,1.17,71.09,83.25,7230.06,82.11,37.5
65.05,26.05,3.45,28.85,1.4,137.07,191.58,5097.18,53.69,54.53
47.76,24.56,2.1,24.9,1.14,114.55,130.73,6185.07,68.66,41.4
32.3,51.74,3.07,27.81,1.09,58.53,63.55,2514.41,29.62,50.01
42.04,23.14,3.48,20.56,1.01,86.59,87.11,3894.30,54.23,36.05
78.21,75.96,4.39,20.52,1.45,53.84,77.94,6109.22,82.64,39.9
11.3,36.73,2.82,27.05,1.22,148.48,181.49,3682.84,45.65,47.76
20.45,90.44,3.91,25.76,1.14,132.33,150.94,5449.28,75.76,40.38
14.14,56.48,2.33,26.12,1.2,85.29,102.49,3670.06,40.21,42.87
13.67,53.47,3.08,20.84,1.36,88.43,119.91,3526.20,52.4,36.85
86.99,78.54,2.56,22.8,1.2,86.95,104.04,3314.73,38.61,50.63
73.33,73.49,3.23,21.1,1.11,115.75,128.82,3374.50,43.55,49.84
